task_id,algorithm,fold,classif.auc,classif.ce
vowel,cv_glmnet,7,,0.303030303030303
vowel,cv_glmnet,8,,0.313131313131313
vowel,cv_glmnet,9,,0.386363636363636
vowel,cv_glmnet,10,,0.363636363636364
waveform,cv_glmnet,1,,0.204819277108434
waveform,cv_glmnet,2,,0.144578313253012
waveform,cv_glmnet,3,,0.207317073170732
waveform,cv_glmnet,4,,0.135802469135802
waveform,cv_glmnet,5,,0.175
waveform,cv_glmnet,6,,0.20253164556962
waveform,cv_glmnet,7,,0.0897435897435897
waveform,cv_glmnet,8,,0.166666666666667
waveform,cv_glmnet,9,,0.153846153846154
waveform,cv_glmnet,10,,0.141025641025641
zipUSPS,cv_glmnet,1,,0.05863539445629
zipUSPS,cv_glmnet,2,,0.0618996798292423
zipUSPS,cv_glmnet,3,,0.0588235294117647
zipUSPS,cv_glmnet,4,,0.053475935828877
zipUSPS,cv_glmnet,5,,0.0580021482277121
zipUSPS,cv_glmnet,6,,0.0667384284176534
zipUSPS,cv_glmnet,7,,0.0637149028077754
zipUSPS,cv_glmnet,8,,0.053030303030303
zipUSPS,cv_glmnet,9,,0.0553145336225597
zipUSPS,cv_glmnet,10,,0.0510314875135722
aztrees3,featureless,1,0.5,0.113902847571189
aztrees3,featureless,2,0.5,0.113902847571189
aztrees3,featureless,3,0.5,0.113902847571189
aztrees3,featureless,4,0.5,0.113902847571189
aztrees3,featureless,5,0.5,0.114093959731544
aztrees3,featureless,6,0.5,0.112605042016807
aztrees3,featureless,7,0.5,0.112605042016807
aztrees3,featureless,8,0.5,0.112605042016807
aztrees3,featureless,9,0.5,0.112794612794613
aztrees3,featureless,10,0.5,0.111298482293423
aztrees4,featureless,1,0.5,0.11371237458194
aztrees4,featureless,2,0.5,0.11371237458194
aztrees4,featureless,3,0.5,0.11371237458194
aztrees4,featureless,4,0.5,0.113902847571189
aztrees4,featureless,5,0.5,0.114093959731544
aztrees4,featureless,6,0.5,0.112605042016807
aztrees4,featureless,7,0.5,0.112605042016807
aztrees4,featureless,8,0.5,0.112794612794613
aztrees4,featureless,9,0.5,0.112984822934233
aztrees4,featureless,10,0.5,0.111486486486486
CanadaFires_all,featureless,1,0.5,0.337448559670782
CanadaFires_all,featureless,2,0.5,0.338144329896907
CanadaFires_all,featureless,3,0.5,0.338144329896907
CanadaFires_all,featureless,4,0.5,0.338144329896907
CanadaFires_all,featureless,5,0.5,0.337474120082816
CanadaFires_all,featureless,6,0.5,0.337474120082816
CanadaFires_all,featureless,7,0.5,0.338174273858921
CanadaFires_all,featureless,8,0.5,0.3375
CanadaFires_all,featureless,9,0.5,0.336116910229645
