grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
14,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,all,720,3,1,450,14,all,2026-03-03T13:28:23.528925Z,2026-03-03T13:30:41.134561Z,25,0.352941176470588
150,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,5,1,720,30,all,2026-03-03T13:39:23.141530Z,2026-03-03T13:39:31.393271Z,34,0.7
151,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,6,1,270,31,all,2026-03-03T13:39:23.249665Z,2026-03-03T13:39:31.439672Z,39,0.816326530612245
152,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,6,1,450,32,all,2026-03-03T13:39:23.273662Z,2026-03-03T13:39:31.459790Z,37,0.857142857142857
153,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,6,1,720,33,all,2026-03-03T13:39:24.579536Z,2026-03-03T13:39:32.231699Z,28,0.857142857142857
154,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,6,1,270,34,all,2026-03-03T13:39:24.760572Z,2026-03-03T13:39:32.583037Z,41,0.9
155,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,6,1,450,35,all,2026-03-03T13:39:24.859531Z,2026-03-03T13:39:32.785367Z,30,0.8
156,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,6,1,720,36,all,2026-03-03T13:39:24.860762Z,2026-03-03T13:39:32.717381Z,36,0.866666666666667
157,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,7,1,270,37,all,2026-03-03T13:39:24.980993Z,2026-03-03T13:39:32.891531Z,42,0.795918367346939
158,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,7,1,450,38,all,2026-03-03T13:39:25.011734Z,2026-03-03T13:39:32.872505Z,40,0.816326530612245
159,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,7,1,720,39,all,2026-03-03T13:39:25.038598Z,2026-03-03T13:39:33.067214Z,31,0.816326530612245
15,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,all,720,3,1,720,15,all,2026-03-03T13:28:23.528942Z,2026-03-03T13:30:41.134530Z,16,0.352941176470588
160,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,7,1,270,40,all,2026-03-03T13:39:25.047568Z,2026-03-03T13:39:32.911681Z,29,0.793103448275862
