train.groups,test.fold,test.group,region3,iteration,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.ce,algorithm,percent.error,data.name
other,10,NW,NW,59,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.986666666666667,0.0516129032258065,cv_glmnet,5.16129032258065,aztrees3
other,10,S,S,60,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.98336038961039,0.0273972602739726,cv_glmnet,2.73972602739726,aztrees3
same,1,NE,NE,61,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.980595427963849,0.0204081632653061,cv_glmnet,2.04081632653061,aztrees3
same,1,NW,NW,62,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0.00636942675159236,cv_glmnet,0.636942675159236,aztrees3
same,1,S,S,63,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
same,2,NE,NE,64,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.982190324295587,0.0136054421768707,cv_glmnet,1.36054421768707,aztrees3
same,2,NW,NW,65,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.997792494481236,0.00636942675159236,cv_glmnet,0.636942675159236,aztrees3
same,2,S,S,66,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.999869383490073,0.00341296928327645,cv_glmnet,0.341296928327645,aztrees3
same,3,NE,NE,67,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.998139287612972,0.0136054421768707,cv_glmnet,1.36054421768707,aztrees3
same,3,NW,NW,68,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.974613686534217,0.0127388535031847,cv_glmnet,1.27388535031847,aztrees3
same,3,S,S,69,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
same,4,NE,NE,70,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.974481658692185,0.0340136054421769,cv_glmnet,3.40136054421769,aztrees3
same,4,NW,NW,71,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.992273730684327,0.0191082802547771,cv_glmnet,1.91082802547771,aztrees3
same,4,S,S,72,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
same,5,NE,NE,73,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0.00684931506849315,cv_glmnet,0.684931506849315,aztrees3
same,5,NW,NW,74,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.997792494481236,0.00636942675159236,cv_glmnet,0.636942675159236,aztrees3
same,5,S,S,75,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.999869383490073,0.00341296928327645,cv_glmnet,0.341296928327645,aztrees3
same,6,NE,NE,76,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.982837221775275,0.0136986301369863,cv_glmnet,1.36986301369863,aztrees3
same,6,NW,NW,77,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.993377483443709,0.00641025641025641,cv_glmnet,0.641025641025641,aztrees3
same,6,S,S,78,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
same,7,NE,NE,79,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.976669348350764,0.0410958904109589,cv_glmnet,4.10958904109589,aztrees3
same,7,NW,NW,80,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.990728476821192,0.00641025641025641,cv_glmnet,0.641025641025641,aztrees3
same,7,S,S,81,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
same,8,NE,NE,82,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.994100294985251,0.0205479452054795,cv_glmnet,2.05479452054795,aztrees3
same,8,NW,NW,83,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.917880794701986,0.0192307692307692,cv_glmnet,1.92307692307692,aztrees3
same,8,S,S,84,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
same,9,NE,NE,85,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.988736926790024,0.0342465753424658,cv_glmnet,3.42465753424658,aztrees3
same,9,NW,NW,86,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.950666666666666,0.00645161290322581,cv_glmnet,0.645161290322581,aztrees3
same,9,S,S,87,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
same,10,NE,NE,88,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.998122821131671,0.0273972602739726,cv_glmnet,2.73972602739726,aztrees3
same,10,NW,NW,89,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.991999999999999,0.00645161290322581,cv_glmnet,0.645161290322581,aztrees3
same,10,S,S,90,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.999864718614719,0.00342465753424658,cv_glmnet,0.342465753424658,aztrees3
all,1,NE,NE,1,69a1eac9-6596-43f5-a507-9de09c2afe06,2,aztrees3,classif.featureless,same_other_cv,0.5,0.224489795918367,featureless,22.4489795918367,aztrees3
all,1,NW,NW,2,69a1eac9-6596-43f5-a507-9de09c2afe06,2,aztrees3,classif.featureless,same_other_cv,0.5,0.0382165605095541,featureless,3.82165605095541,aztrees3
all,1,S,S,3,69a1eac9-6596-43f5-a507-9de09c2afe06,2,aztrees3,classif.featureless,same_other_cv,0.5,0.0989761092150171,featureless,9.89761092150171,aztrees3
all,2,NE,NE,4,69a1eac9-6596-43f5-a507-9de09c2afe06,2,aztrees3,classif.featureless,same_other_cv,0.5,0.224489795918367,featureless,22.4489795918367,aztrees3
all,2,NW,NW,5,69a1eac9-6596-43f5-a507-9de09c2afe06,2,aztrees3,classif.featureless,same_other_cv,0.5,0.0382165605095541,featureless,3.82165605095541,aztrees3
all,2,S,S,6,69a1eac9-6596-43f5-a507-9de09c2afe06,2,aztrees3,classif.featureless,same_other_cv,0.5,0.0989761092150171,featureless,9.89761092150171,aztrees3
