test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.acc,algorithm
2019,same,16381,6,1,16381,106,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.966091835684134,0.973091707852828,cv_glmnet
2020,same,25027,6,1,16381,107,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.976597488889847,0.974829198130169,cv_glmnet
2020,same,25027,6,1,25027,108,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.977167019027484,0.976267529665588,cv_glmnet
2019,same,16381,7,1,16381,109,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.972500262301962,0.973611874656405,cv_glmnet
2020,same,25027,7,1,16381,110,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969094360788713,0.976267529665588,cv_glmnet
2020,same,25027,7,1,25027,111,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.971614100185529,0.977705861201007,cv_glmnet
2019,same,16381,8,1,16381,112,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.969179519462805,0.975261132490379,cv_glmnet
2020,same,25027,8,1,16381,113,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.950044745170796,0.97841726618705,cv_glmnet
2020,same,25027,8,1,25027,114,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.950339408490668,0.977338129496403,cv_glmnet
2019,same,16381,9,1,16381,115,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.96700241317805,0.977460142935679,cv_glmnet
2020,same,25027,9,1,16381,116,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.962062643239115,0.974460431654676,cv_glmnet
2020,same,25027,9,1,25027,117,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.963474844483247,0.974820143884892,cv_glmnet
2019,same,16381,10,1,16381,118,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.978312873780295,0.976910390324354,cv_glmnet
2020,same,25027,10,1,16381,119,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.951555167521554,0.971223021582734,cv_glmnet
2020,same,25027,10,1,25027,120,same,01ab2d16-7901-48bb-bf49-080853d55947,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,0.952976099530722,0.973741007194245,cv_glmnet
2019,all,41408,1,1,16381,1,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2019,all,41408,1,1,25027,2,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2019,all,41408,1,1,41408,3,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2020,all,41408,1,1,16381,4,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969086987778577,featureless
2020,all,41408,1,1,25027,5,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969086987778577,featureless
2020,all,41408,1,1,41408,6,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969086987778577,featureless
2019,all,41408,2,1,16381,7,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2019,all,41408,2,1,25027,8,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2019,all,41408,2,1,41408,9,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2020,all,41408,2,1,16381,10,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969075871988493,featureless
2020,all,41408,2,1,25027,11,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969075871988493,featureless
2020,all,41408,2,1,41408,12,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969075871988493,featureless
2019,all,41408,3,1,16381,13,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2019,all,41408,3,1,25027,14,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2019,all,41408,3,1,41408,15,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969796814936848,featureless
2020,all,41408,3,1,16381,16,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969075871988493,featureless
2020,all,41408,3,1,25027,17,all,00055f35-837e-4063-837b-767be8fc5a7f,2,NSCH_autism,classif.featureless,same_other_sizes_cv,0.5,0.969075871988493,featureless
