grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
16,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,8,1,11700,48,all,2026-02-24T18:26:11.144264Z,2026-02-24T22:53:08.901266Z,15,0.372
160,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,10,1,4500,89,other,2026-02-24T21:08:58.112777Z,2026-02-24T21:46:54.339576Z,27,0.334
161,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,1,1,4500,91,same,2026-02-24T21:09:55.610214Z,2026-02-24T21:48:33.661355Z,24,0.37625
162,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,1,1,4500,93,same,2026-02-24T21:10:24.691652Z,2026-02-24T21:43:25.966770Z,40,0.348
163,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,2,1,4500,94,same,2026-02-24T21:13:16.889567Z,2026-02-24T21:50:49.054545Z,38,0.35875
164,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,2,1,4500,96,same,2026-02-24T21:13:47.636024Z,2026-02-24T21:56:44.667877Z,12,0.372
165,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,3,1,4500,97,same,2026-02-24T21:14:09.507307Z,2026-02-24T21:52:50.835020Z,35,0.36
166,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,3,1,4500,99,same,2026-02-24T21:14:52.542383Z,2026-02-24T22:13:01.880371Z,48,0.304
167,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,4,1,4500,100,same,2026-02-24T21:16:48.716759Z,2026-02-24T21:53:42.543131Z,41,0.34875
168,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,4,1,4500,102,same,2026-02-24T21:17:35.658806Z,2026-02-24T21:56:42.633436Z,37,0.312
169,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,5,1,4500,103,same,2026-02-24T21:19:05.792025Z,2026-02-24T21:55:17.121295Z,39,0.34375
17,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,9,1,11700,51,all,2026-02-24T18:26:11.145412Z,2026-02-24T22:17:17.918960Z,23,0.36375
170,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,5,1,4500,105,same,2026-02-24T21:19:43.201122Z,2026-02-24T22:17:06.155512Z,49,0.342
171,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,6,1,4500,106,same,2026-02-24T21:25:30.045486Z,2026-02-24T22:07:03.874457Z,32,0.3625
172,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,6,1,4500,108,same,2026-02-24T21:26:51.557650Z,2026-02-24T22:12:11.776906Z,36,0.394
173,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,7,1,4500,109,same,2026-02-24T21:27:43.669375Z,2026-02-24T22:08:03.519837Z,28,0.3525
174,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,7,1,4500,111,same,2026-02-24T21:30:15.183326Z,2026-02-24T22:19:40.156594Z,7,0.336
175,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,8,1,4500,112,same,2026-02-24T21:33:08.661886Z,2026-02-24T22:17:52.624336Z,31,0.3475
176,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,same,4500,8,1,4500,114,same,2026-02-24T21:40:08.131286Z,2026-02-24T22:28:39.627974Z,14,0.362
177,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,same,7200,9,1,4500,115,same,2026-02-24T21:43:01.244627Z,2026-02-24T22:32:10.152344Z,33,0.35625
