grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
157,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,9,1,16381,85,other,2026-02-24T03:17:58.823107Z,2026-02-24T03:21:39.337374Z,58,0.961189801699717,0.974161627267729
158,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,9,1,16381,87,other,2026-02-24T03:17:58.826722Z,2026-02-24T03:21:44.458203Z,86,0.968241842191422,0.975179856115108
159,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,10,1,16381,88,other,2026-02-24T03:17:58.883782Z,2026-02-24T03:22:24.165350Z,78,0.959846815654181,0.972512369433755
15,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,41408,45,all,2026-02-24T03:17:56.617089Z,2026-02-24T03:22:30.708136Z,50,0.968062113104605,0.973611874656405
160,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,10,1,16381,90,other,2026-02-24T03:18:54.742966Z,2026-02-24T03:20:02.500130Z,98,0.94785332314744,0.971223021582734
161,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,1,1,16381,91,same,2026-02-24T03:19:00.419453Z,2026-02-24T03:20:06.858939Z,99,0.980464326160816,0.974739154310818
162,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,1,1,16381,92,same,2026-02-24T03:19:00.568353Z,2026-02-24T03:20:17.755128Z,41,0.975571044096336,0.976994967649173
163,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,2,1,16381,94,same,2026-02-24T03:19:04.469441Z,2026-02-24T03:20:22.523190Z,42,0.975512200144137,0.979132344865459
164,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,same,25027,2,1,16381,95,same,2026-02-24T03:19:04.520559Z,2026-02-24T03:20:00.463094Z,96,0.970982008025198,0.974829198130169
165,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,same,16381,3,1,16381,97,same,2026-02-24T03:19:06.355291Z,2026-02-24T03:20:35.921700Z,97,0.972680943065994,0.973091707852828
