seconds,task_id,learner_id,iteration
170,FishSonar_river,classif.rpart,9
164,FishSonar_river,classif.rpart,10
9,FishSonar_river,classif.featureless,1
10,FishSonar_river,classif.featureless,2
10,FishSonar_river,classif.featureless,3
10,FishSonar_river,classif.featureless,4
9,FishSonar_river,classif.featureless,5
9,FishSonar_river,classif.featureless,6
9,FishSonar_river,classif.featureless,7
10,FishSonar_river,classif.featureless,8
10,FishSonar_river,classif.featureless,9
9,FishSonar_river,classif.featureless,10
46990,KMNIST,classif.nearest_neighbors,1
48116,KMNIST,classif.nearest_neighbors,2
52417,KMNIST,classif.nearest_neighbors,3
52726,KMNIST,classif.nearest_neighbors,4
52522,KMNIST,classif.nearest_neighbors,5
45831,KMNIST,classif.nearest_neighbors,6
41941,KMNIST,classif.nearest_neighbors,7
52606,KMNIST,classif.nearest_neighbors,8
52282,KMNIST,classif.nearest_neighbors,9
52684,KMNIST,classif.nearest_neighbors,10
9183,KMNIST,classif.cv_glmnet,1
9159,KMNIST,classif.cv_glmnet,2
8996,KMNIST,classif.cv_glmnet,3
9247,KMNIST,classif.cv_glmnet,4
8965,KMNIST,classif.cv_glmnet,5
9028,KMNIST,classif.cv_glmnet,6
9028,KMNIST,classif.cv_glmnet,7
8959,KMNIST,classif.cv_glmnet,8
4768,KMNIST,classif.cv_glmnet,9
9104,KMNIST,classif.cv_glmnet,10
26,KMNIST,classif.rpart,1
23,KMNIST,classif.rpart,2
21,KMNIST,classif.rpart,3
20,KMNIST,classif.rpart,4
21,KMNIST,classif.rpart,5
20,KMNIST,classif.rpart,6
20,KMNIST,classif.rpart,7
21,KMNIST,classif.rpart,8
20,KMNIST,classif.rpart,9
20,KMNIST,classif.rpart,10
7,KMNIST,classif.featureless,1
9,KMNIST,classif.featureless,2
7,KMNIST,classif.featureless,3
9,KMNIST,classif.featureless,4
7,KMNIST,classif.featureless,5
10,KMNIST,classif.featureless,6
6,KMNIST,classif.featureless,7
6,KMNIST,classif.featureless,8
6,KMNIST,classif.featureless,9
6,KMNIST,classif.featureless,10
152578,MNIST,classif.xgboost,1
151617,MNIST,classif.xgboost,2
49175,MNIST,classif.nearest_neighbors,1
50826,MNIST,classif.nearest_neighbors,2
54784,MNIST,classif.nearest_neighbors,3
52215,MNIST,classif.nearest_neighbors,4
49426,MNIST,classif.nearest_neighbors,5
52552,MNIST,classif.nearest_neighbors,6
54602,MNIST,classif.nearest_neighbors,7
53806,MNIST,classif.nearest_neighbors,8
56584,MNIST,classif.nearest_neighbors,9
55626,MNIST,classif.nearest_neighbors,10
36958,MNIST,classif.cv_glmnet,1
29889,MNIST,classif.cv_glmnet,2
35440,MNIST,classif.cv_glmnet,3
9540,MNIST,classif.cv_glmnet,4
28827,MNIST,classif.cv_glmnet,5
25505,MNIST,classif.cv_glmnet,6
30752,MNIST,classif.cv_glmnet,7
29113,MNIST,classif.cv_glmnet,8
28548,MNIST,classif.cv_glmnet,9
28769,MNIST,classif.cv_glmnet,10
14,MNIST,classif.rpart,1
14,MNIST,classif.rpart,2
14,MNIST,classif.rpart,3
13,MNIST,classif.rpart,4
17,MNIST,classif.rpart,5
14,MNIST,classif.rpart,6
14,MNIST,classif.rpart,7
14,MNIST,classif.rpart,8
14,MNIST,classif.rpart,9
13,MNIST,classif.rpart,10
6,MNIST,classif.featureless,1
4,MNIST,classif.featureless,2
4,MNIST,classif.featureless,3
5,MNIST,classif.featureless,4
4,MNIST,classif.featureless,5
4,MNIST,classif.featureless,6
6,MNIST,classif.featureless,7
4,MNIST,classif.featureless,8
6,MNIST,classif.featureless,9
5,MNIST,classif.featureless,10
29,MNIST_EMNIST,classif.rpart,1
29,MNIST_EMNIST,classif.rpart,2
31,MNIST_EMNIST,classif.rpart,3
28,MNIST_EMNIST,classif.rpart,4
29,MNIST_EMNIST,classif.rpart,5
34,MNIST_EMNIST,classif.rpart,6
34,MNIST_EMNIST,classif.rpart,7
29,MNIST_EMNIST,classif.rpart,8
28,MNIST_EMNIST,classif.rpart,9
33,MNIST_EMNIST,classif.rpart,10
8,MNIST_EMNIST,classif.featureless,1
8,MNIST_EMNIST,classif.featureless,2
7,MNIST_EMNIST,classif.featureless,3
7,MNIST_EMNIST,classif.featureless,4
7,MNIST_EMNIST,classif.featureless,5
7,MNIST_EMNIST,classif.featureless,6
7,MNIST_EMNIST,classif.featureless,7
7,MNIST_EMNIST,classif.featureless,8
7,MNIST_EMNIST,classif.featureless,9
7,MNIST_EMNIST,classif.featureless,10
35,MNIST_EMNIST_rot,classif.rpart,1
35,MNIST_EMNIST_rot,classif.rpart,2
35,MNIST_EMNIST_rot,classif.rpart,3
35,MNIST_EMNIST_rot,classif.rpart,4
35,MNIST_EMNIST_rot,classif.rpart,5
35,MNIST_EMNIST_rot,classif.rpart,6
35,MNIST_EMNIST_rot,classif.rpart,7
35,MNIST_EMNIST_rot,classif.rpart,8
35,MNIST_EMNIST_rot,classif.rpart,9
35,MNIST_EMNIST_rot,classif.rpart,10
8,MNIST_EMNIST_rot,classif.featureless,1
8,MNIST_EMNIST_rot,classif.featureless,2
7,MNIST_EMNIST_rot,classif.featureless,3
7,MNIST_EMNIST_rot,classif.featureless,4
7,MNIST_EMNIST_rot,classif.featureless,5
7,MNIST_EMNIST_rot,classif.featureless,6
7,MNIST_EMNIST_rot,classif.featureless,7
7,MNIST_EMNIST_rot,classif.featureless,8
7,MNIST_EMNIST_rot,classif.featureless,9
7,MNIST_EMNIST_rot,classif.featureless,10
